epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
69,0.029822,0.027421,0.0056068,0.9976,0.99732,0.99468,0.72727,0.03902,0.041774,0.0074292,0.001585,0.001585,0.001585
70,0.029778,0.027363,0.0056031,0.99744,0.99707,0.99472,0.72713,0.039567,0.04197,0.0074158,0.0014612,0.0014612,0.0014612
71,0.029528,0.027105,0.0055908,0.99718,0.9972,0.99476,0.72836,0.039023,0.042204,0.0074174,0.0013375,0.0013375,0.0013375
72,0.029667,0.026873,0.0056127,0.99775,0.99843,0.99457,0.72698,0.039282,0.042675,0.0074555,0.0012138,0.0012138,0.0012138
73,0.029335,0.02688,0.0056128,0.99766,0.99667,0.9946,0.72515,0.039401,0.042787,0.0074165,0.00109,0.00109,0.00109
74,0.029252,0.026626,0.0055447,0.99758,0.99741,0.99459,0.7281,0.039054,0.042502,0.0075018,0.00096625,0.00096625,0.00096625
75,0.029316,0.026394,0.0055996,0.99741,0.99745,0.99462,0.72887,0.039257,0.04266,0.0074205,0.0008425,0.0008425,0.0008425
76,0.029304,0.026315,0.0056014,0.99768,0.99688,0.99474,0.73078,0.039423,0.042456,0.0074727,0.00071875,0.00071875,0.00071875
77,0.028996,0.026321,0.0055086,0.99774,0.99708,0.99474,0.72745,0.03984,0.042713,0.0074551,0.000595,0.000595,0.000595
78,0.02896,0.026069,0.0055029,0.99777,0.99757,0.99475,0.72777,0.039503,0.043041,0.0074896,0.00047125,0.00047125,0.00047125
79,0.02885,0.026144,0.0055035,0.99766,0.99774,0.99474,0.72792,0.039587,0.042989,0.0075306,0.0003475,0.0003475,0.0003475
